State Abbreviation,Average Household Income 2020/2021,"Percent Change in Household Income, 1984-2019","Average Yearly Percent Change in Household Income, 1984-2019",MinWage,City,Average House Price 2020/2021,"Percent Change in Housing Prices, 2000-2019","Average Yearly Percent Change in Housing Prices, 2000-2019",County Name,Violent Crime Total,Property Crime Total,Property Crime Per Capita,Violent Crime Per Capita,Total Crime Per Capita,State Name,TotalPop,Men,Women,VotingAgeCitizen,Employed,TractId,Hispanic,White,Black,Native,Asian,Pacific,Income,IncomePerCap,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment,Population
CA,81426.5,31.42376272,0.872882298,14,Sacramento,401813.25,143.2452099,7.162260496,Sacramento County,3547,14248,0.027450149,0.006833638,0.034283788,California,1495400,730680,764720,1013094,666790,6067009979,22.23,48.43,9.01,0.38,13.84,0.91,64220.32,30645.25,16.92,21.33,37.96,19.87,24.76,8.1,9.31,76.34,10.36,2.83,2.5,2.51,5.47,26.63,71.55,21.14,7.13,0.19,8.92,479686
CA,81426.5,31.42376272,0.872882298,14,Long Beach,673024.3333,185.9991687,9.299958434,Los Angeles County,2343,12707,0.027465449,0.00506426,0.032529709,California,10105722,4979641,5126081,6218279,4805817,6037408065,47.87,27.19,7.77,0.28,14.16,0.24,66053.55,31389.41,17.32,22.19,35.24,19.39,24.14,7.92,13.32,73,9.66,6.74,2.89,2.34,5.36,30.99,79.32,11.2,9.32,0.16,7.91,469428
MO,64337.5,24.10954139,0.669709483,11.15,Kansas City,183947.75,62.75102094,3.137551047,Jackson County,7658.5,21015.5,0.042017055,0.015313296,0.05733035,Missouri,688554,332936,355618,502554,338110,29095035869,9.5,56.6,28.77,0.3,1.89,0.23,52601.44,28383.71,18.23,25.25,33.94,19.78,24.96,7.94,13.39,80.43,8.06,3.52,1.95,1.42,4.62,23.03,83.69,11.13,5.07,0.11,6.64,467007
AZ,70520.5,40.35643342,1.121012039,12.8,Mesa,322351.7917,89.1204209,4.456021045,Maricopa County,2080,10074,0.019610171,0.004048953,0.023659125,Arizona,4155501,2055464,2100037,2778337,1929015,4013299094,29.54,57.41,4.94,1.76,3.78,0.19,64354.89,30761.27,16.13,21.52,36.47,18.39,26.72,8.7,9.73,75.7,10.83,2.32,1.72,2.67,6.75,25.7,82.69,10.95,6.22,0.14,6.34,457587
GA,61765,20.57139413,0.571427615,7.25,Atlanta,324782.2917,63.05170803,3.152585402,Fulton County,4609,19154,0.036744591,0.008841799,0.04558639,Georgia,1010420,489797,520623,710189,500783,13121012921,6.75,38.25,47.34,0.14,5.33,0.02,66844.26,39576.53,19.78,26.99,45.51,17.03,24.54,4.14,8.77,68.4,8.51,10.49,3.04,1.88,7.68,28.3,82.89,11.76,5.21,0.14,9.16,447841
CO,86321.5,19.56240955,0.543400265,12.56,Colorado Springs,372867.4167,86.03303495,4.301651748,El Paso County,2851,16048.5,0.032962688,0.005855662,0.03881835,Colorado,674826,340118,334708,486507,304289,8041004202,16.59,70.26,5.69,0.37,2.51,0.34,64985.01,30775.82,12.1,15.94,39.74,19.69,23.53,8.62,8.43,77.56,10.66,0.93,3.14,1.66,6.04,22.25,77.29,16.96,5.6,0.17,7.06,439886
NE,76865.5,45.30698792,1.258527442,9,Omaha,223797.3333,59.00361606,2.950180803,Douglas County,3032,15247,0.031744941,0.006312761,0.038057702,Nebraska,549706,270917,278789,377163,285735,31055005867,12.55,68.25,12.64,0.34,3.24,0.06,62688.57,31371.47,15.27,19.38,38.43,17.13,24.9,7.92,11.62,81.63,9.21,1.65,2.36,1.39,3.74,19.13,85.96,9.85,4.1,0.09,5.03,434353
NC,63071.5,26.51571345,0.736547596,7.25,Raleigh,324321.125,56.70485264,2.835242632,Wake County,2063.5,10020,0.020786771,0.004280899,0.02506767,North Carolina,1023811,497677,526134,699342,536376,37183063104,9.23,63.37,18.27,0.27,6.31,0.05,81053.11,38765.32,10.46,13.54,50.77,13.75,23.11,5.8,6.56,79.05,8.53,1.29,1.51,1.42,8.21,24.45,80.85,14.13,4.93,0.1,4.9,431746
FL,60097,25.52712219,0.709086727,10,Miami,399114.5,138.9854768,6.949273841,Miami-Dade County,2645,13092,0.027498309,0.005555532,0.033053841,Florida,2702602,1311997,1390605,1578079,1272735,12086028896,65.35,16.01,16.05,0.11,1.54,0.03,53910.99,28144.99,19.23,23.78,32.4,21.17,27.05,9.14,10.24,75.33,8.65,5.8,2.7,2.28,5.25,30.77,82.43,9.54,7.84,0.18,7.47,417650
CA,81426.5,31.42376272,0.872882298,14,Oakland,840125.9583,192.0775789,9.603878947,Alameda County,5653,22622,0.051657483,0.012908662,0.064566145,California,1629615,799649,829966,1056116,826310,6001433308,21.68,33.9,11.72,0.31,26.84,0.77,91677,42258.87,11.91,13.3,48.03,16.27,20.26,6.24,9.2,60.58,10.22,15.16,4.01,3.88,6.14,32.14,78.6,13.66,7.61,0.14,6.26,406253
MN,81436,41.7853798,1.160704994,10.33,Minneapolis,310880.2083,111.5674904,5.578374522,Hennepin County,5320.5,19101,0.04373751,0.012178511,0.055916021,Minnesota,1224763,604629,620134,877093,674973,27053049043,7.52,68.54,13.13,0.57,6.42,0.03,73940,40923.94,12.45,16.48,47.12,16,22.43,4.69,9.76,72.22,8.23,7.95,3.23,2.91,5.46,23.16,84.85,10.26,4.79,0.1,4.97,400070
