,State Abbreviation,State Name,Number of Cities,Average Household Income 2020/2021,"Percent Change in Household Income, 1984-2019","Average Yearly Percent Change in Household Income, 1984-2019",MinWage,Average House Price 2020/2021,"Percent Change in Housing Prices, 2000-2019","Average Yearly Percent Change in Housing Prices, 2000-2019",Violent Crime Total,Property Crime Total,Property Crime Per Capita,Violent Crime Per Capita,Total Crime Per Capita,TotalPop,Men,Women,VotingAgeCitizen,Employed,Hispanic,White,Black,Native,Asian,Pacific,Income,IncomePerCap,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment,Population
30,NJ,New Jersey,22,1.475833965,0.350274481,0.350274481,0.783898167,-0.131679401,-0.124474753,-0.124474753,-0.148519815,-0.267938596,-0.654907455,-0.063499823,-0.555740493,-0.382104074,-0.382888373,-0.381315349,-0.407064094,-0.374575819,0.560013949,-0.894835473,0.379740095,-0.224424889,0.698506394,-0.409098677,0.421630138,0.329023296,-0.10998201,-0.014101732,-0.017613991,0.007851449,-0.216123753,-0.522691127,0.522184738,-2.092176007,-0.263728851,2.5436758,1.119286202,0.404183019,-0.884018583,1.226671207,0.598714268,-0.188406619,-1.036879223,-0.508223431,0.322845581,-0.133245028
31,NM,New Mexico,6,-1.976957498,-2.467421474,-2.467421474,0.249823761,-0.52870915,,,1.290875088,1.204764837,1.047390268,2.329159668,1.433416133,-0.568057073,-0.567501472,-0.568555218,-0.585847069,-0.57592482,1.174334727,-0.718123349,-0.825132941,5.601293964,-0.796061448,-0.338648589,-0.781694661,-0.726836505,0.639613999,0.731591364,-0.334980892,0.549127053,-0.681820651,1.440317523,-0.465109704,0.582180323,0.004775845,-0.566705275,-0.261287756,-0.23630941,-0.160244172,-0.737202355,-2.010129059,2.004945796,0.319455941,0.707413711,0.240979914,0.031144783
32,NV,Nevada,6,-0.931094015,-1.616604387,-1.616604387,-0.373263045,-0.052128113,-0.036582574,-0.036582574,0.061858102,0.168008398,-0.176742055,-0.068849898,-0.162553216,-0.118920933,-0.109635696,-0.127923192,-0.113380246,-0.130444767,0.330154191,-0.094057238,-0.469864654,0.323341451,0.056820187,0.939575134,-0.375839041,-0.271354671,-0.192171773,-0.037559985,-0.965265722,2.43733931,0.706909236,-0.031016774,-0.277612114,0.182141448,0.687735175,-0.246208652,-0.148549646,0.092547426,-0.537120788,-0.678491015,0.080129453,0.111881055,-0.453427316,-0.149057912,0.436002439,0.331480814
33,NY,New York,14,-0.136317125,0.85122595,0.85122595,0.855108088,-0.014694329,-0.084433669,-0.084433669,1.641669931,1.234706089,-0.04289929,0.5650142,0.102776626,-0.295202175,-0.300139808,-0.290389128,-0.290638121,-0.28636414,-0.444774285,0.352687568,0.053994511,-0.094080896,0.051863974,-0.430268408,0.736009741,0.787311037,-0.49487819,-0.480561207,0.487351722,0.235233138,0.128580337,-0.56514624,-0.743038636,-1.140847421,-1.024470732,1.695290958,1.068181654,-0.655011924,-0.59425368,0.645753563,-0.486054795,0.718980595,-0.443425762,-0.602948403,-0.239972048,1.591039252
34,OH,Ohio,33,-1.05075814,-1.396314957,-1.396314957,-0.533485367,-0.750707367,-1.419893187,-1.419893187,0.016683774,-0.028386245,0.103388292,0.138071898,0.119127885,-0.400216965,-0.404564322,-0.395969165,-0.378057695,-0.401380313,-0.972004298,0.745956883,0.53642374,-0.216724173,-0.652699918,-0.409503562,-0.661277235,-0.528002705,0.483537051,0.685537595,-0.408916599,0.315813936,-0.057952504,-0.57182114,0.992023362,0.67013813,-0.709766981,-0.25378856,-0.102028466,-0.705967119,-0.825609997,-0.597087758,0.649192409,-0.329229445,-0.830866349,-0.676503779,0.55085453,-0.073324902
35,OK,Oklahoma,11,-1.57673834,-1.337723949,-1.337723949,-1.263387054,-0.782216384,-0.83370683,-0.83370683,0.093225392,0.234145791,0.328831211,0.161056158,0.310739229,-0.499095775,-0.498549023,-0.499590316,-0.511188057,-0.502989322,-0.589231797,0.353598028,-0.129503694,2.536916597,-0.560852965,0.374354888,-0.778410593,-0.729971326,0.599023615,0.332965387,-0.388844493,-0.096895855,0.061379001,0.818895029,0.174086626,0.581415122,0.646793608,-0.613897125,-0.170473421,-0.261245768,-0.715900266,-1.128462143,-0.89316165,1.059996918,-0.259557477,0.554203244,-0.3026957,0.058345237
36,OR,Oregon,14,0.711106174,1.890214333,1.890214333,0.694885766,0.156431143,0.498562374,0.498562374,-0.08829789,0.151941013,0.449272273,-0.379651743,0.277963991,-0.477295631,-0.475940256,-0.478576473,-0.480674826,-0.473235352,-0.484241708,0.976134565,-0.849386227,0.002063213,-0.281441343,0.476386049,-0.222569117,-0.122563468,-0.067727815,-0.307027647,0.251860687,-0.220551034,-0.306062138,0.09088034,-0.226990222,-0.672838012,0.409743862,-0.05614256,0.71652278,1.422696469,1.159683126,-0.536408567,-0.373799584,0.127376656,0.628056526,0.28509821,-0.1767035,-0.031649344
37,PA,Pennsylvania,12,-0.042637486,1.850164027,1.850164027,-1.263387054,-0.699756499,-0.864415054,-0.864415054,-0.16573403,-0.314807823,-0.654049194,0.533270805,-0.409190285,-0.447039621,-0.449622109,-0.444501154,-0.43337652,-0.452269989,-0.649001876,0.888778906,-0.144110115,-0.242153461,-0.537831492,-0.429950283,-0.656132829,-0.501343545,0.228953467,0.235732775,-0.356263533,0.19036077,0.029265905,-0.389441336,0.804799434,-0.260537228,0.268061615,0.137583977,1.329299921,-0.325722098,-0.734078914,-0.379836622,0.813086839,-0.495784018,-0.862898839,-0.34245473,0.047511354,0.230176173
38,RI,Rhode Island,6,0.546682924,0.773013083,0.773013083,0.516860964,-0.357737506,0.039472789,0.039472789,-0.200078984,-0.251477422,-0.680756649,-0.376453932,-0.653547994,-0.410839504,-0.413832111,-0.407905651,-0.405481556,-0.407820318,-0.144010571,0.450216107,-0.373462274,-0.125331056,-0.360290184,-0.325287365,-0.469453287,-0.26494137,0.105279639,0.114055924,-0.329973212,0.79445769,0.191047502,-0.39914438,0.245316945,0.26365546,-0.181305828,-0.17169388,0.887660631,-0.449990579,-0.999195576,-0.244659913,0.998912224,-0.593564652,-1.060495333,-1.39232317,0.289929791,-0.136744136
39,SC,South Carolina,12,-1.059758353,-0.152196206,-0.152196206,-1.263387054,-0.413781367,-0.596485438,-0.596485438,-0.097349265,-0.108479817,1.087233282,0.942629776,1.127439418,-0.531866193,-0.533084789,-0.530645184,-0.537287508,-0.535007451,-0.90825603,0.120805393,1.551827043,-0.162099861,-0.720760804,-0.320833624,-0.623117484,-0.325708627,0.348821947,0.521227114,-0.308690572,0.251395698,0.18812122,-0.030722743,0.327884691,0.479623291,-0.127361939,-0.548699847,0.052908454,0.142557912,-0.208356081,-0.43766905,-0.393300431,0.612066605,-0.440991173,-0.093801678,0.130648446,-0.181332969
