city_id,State,County,State Abbreviation,city_name_id,city_state,city,City,state_id,county_name,state_name,lat,lng,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,city_county,city_st_abbr
67,Indiana,Allen County,IN,"Fort Wayne, Indiana, Allen County","Fort Wayne, Indiana",Fort Wayne,Fort Wayne,IN,Allen,Indiana,41.0888,-85.1436,0,605,606,607,608,609,610,611,612,613,614,615,604,616,618,619,620,621,622,623,624,"Fort Wayne, Allen County","Fort Wayne, IN"
68,Florida,Orange County,FL,"Orlando, Florida, Orange County","Orlando, Florida",Orlando,Orlando,FL,Orange,Florida,28.4773,-81.337,68,746,119,248,446,868,775,895,512,202,251,48,152,276,46,386,497,156,12,307,258,"Orlando, Orange County","Orlando, FL"
69,Arizona,Maricopa County,AZ,"Chandler, Arizona, Maricopa County","Chandler, Arizona",Chandler,Chandler,AZ,Maricopa,Arizona,33.2825,-111.8514,69,128,82,192,80,420,591,35,76,377,122,144,66,253,564,275,117,313,48,598,587,"Chandler, Maricopa County","Chandler, AZ"
70,Texas,Webb County,TX,"Laredo, Texas, Webb County","Laredo, Texas",Laredo,Laredo,TX,Webb,Texas,27.5625,-99.4874,0,605,606,607,608,609,610,611,612,613,614,615,604,616,618,619,620,621,622,623,624,"Laredo, Webb County","Laredo, TX"
71,North Carolina,Durham County,NC,"Durham, North Carolina, Durham County","Durham, North Carolina",Durham,Durham,NC,Durham,North Carolina,35.9792,-78.9022,71,57,249,75,59,177,233,36,428,526,202,903,169,14,851,157,535,405,181,304,155,"Durham, Durham County","Durham, NC"
72,Wisconsin,Dane County,WI,"Madison, Wisconsin, Dane County","Madison, Wisconsin",Madison,Madison,WI,Dane,Wisconsin,43.0822,-89.393,72,793,63,204,329,268,383,485,662,695,177,510,411,405,685,474,220,767,745,792,851,"Madison, Dane County","Madison, WI"
73,Texas,Lubbock County,TX,"Lubbock, Texas, Lubbock County","Lubbock, Texas",Lubbock,Lubbock,TX,Lubbock,Texas,33.5657,-101.8879,73,24,918,589,79,661,46,526,68,59,512,43,524,289,232,769,258,202,64,37,75,"Lubbock, Lubbock County","Lubbock, TX"
74,California,Orange County,CA,"Irvine, California, Orange County","Irvine, California",Irvine,Irvine,CA,Orange,California,33.6772,-117.7738,74,160,100,490,701,372,278,468,492,590,522,681,697,162,115,384,649,815,351,298,51,"Irvine, Orange County","Irvine, CA"
75,North Carolina,Forsyth County,NC,"Winston-Salem, North Carolina, Forsyth County","Winston-Salem, North Carolina",Winston-Salem,Winston-Salem,NC,Forsyth,North Carolina,36.1029,-80.261,75,59,57,157,202,233,401,526,34,661,99,415,428,58,421,43,14,44,722,68,109,"Winston-Salem, Forsyth County","Winston-Salem, NC"
76,Arizona,Maricopa County,AZ,"Glendale, Arizona, Maricopa County","Glendale, Arizona",Glendale,Glendale,AZ,Maricopa,Arizona,33.5791,-112.2311,76,377,122,35,420,69,82,128,192,591,80,253,144,117,48,564,66,248,446,46,275,"Glendale, Maricopa County","Glendale, AZ"
77,Texas,Dallas County,TX,"Garland, Texas, Dallas County","Garland, Texas",Garland,Garland,TX,Dallas,Texas,32.91,-96.6304,77,81,108,247,853,888,731,184,156,574,839,637,882,466,710,769,680,138,46,534,784,"Garland, Dallas County","Garland, TX"
78,Florida,Miami-Dade County,FL,"Hialeah, Florida, Miami-Dade County","Hialeah, Florida",Hialeah,Hialeah,FL,Miami-Dade,Florida,25.8696,-80.3045,78,774,678,218,691,776,40,495,533,910,129,307,309,185,506,276,152,173,386,606,787,"Hialeah, Miami-Dade County","Hialeah, FL"
79,Nevada,Washoe County,NV,"Reno, Nevada, Washoe County","Reno, Nevada",Reno,Reno,NV,Washoe,Nevada,39.5497,-119.8483,79,289,37,877,46,391,769,512,48,760,589,637,882,710,918,746,466,104,251,680,497,"Reno, Washoe County","Reno, NV"
80,Arizona,Maricopa County,AZ,"Gilbert, Arizona, Maricopa County","Gilbert, Arizona",Gilbert,Gilbert,AZ,Maricopa,Arizona,33.31,-111.7463,80,128,192,69,591,82,420,35,76,377,122,66,313,144,275,598,253,564,694,117,587,"Gilbert, Maricopa County","Gilbert, AZ"
81,Texas,Dallas County,TX,"Irving, Texas, Dallas County","Irving, Texas",Irving,Irving,TX,Dallas,Texas,32.8583,-96.9702,81,77,853,108,247,888,731,156,184,574,839,466,710,637,138,882,680,46,769,534,784,"Irving, Dallas County","Irving, TX"
82,Arizona,Maricopa County,AZ,"Scottsdale, Arizona, Maricopa County","Scottsdale, Arizona",Scottsdale,Scottsdale,AZ,Maricopa,Arizona,33.6872,-111.8651,82,69,128,420,80,192,76,35,591,377,122,144,253,66,564,117,275,313,219,694,598,"Scottsdale, Maricopa County","Scottsdale, AZ"
83,Nevada,Clark County,NV,"North Las Vegas, Nevada, Clark County","North Las Vegas, Nevada",North Las Vegas,North Las Vegas,NV,Clark,Nevada,36.2883,-115.0888,83,62,895,868,746,488,289,79,587,258,173,506,307,877,386,582,787,276,446,185,635,"North Las Vegas, Clark County","North Las Vegas, NV"
84,California,Alameda County,CA,"Fremont, California, Alameda County","Fremont, California",Fremont,Fremont,CA,Alameda,California,37.5265,-121.9843,84,423,762,396,409,651,335,140,206,319,167,578,338,615,791,476,682,256,880,245,408,"Fremont, Alameda County","Fremont, CA"
85,California,San Bernardino County,CA,"San Bernardino, California, San Bernardino County","San Bernardino, California",San Bernardino,San Bernardino,CA,San Bernardino,California,34.1416,-117.2943,85,194,889,255,622,402,636,123,294,444,366,53,435,56,736,121,96,424,359,93,347,"San Bernardino, San Bernardino County","San Bernardino, CA"
86,Alabama,Jefferson County,AL,"Birmingham, Alabama, Jefferson County","Birmingham, Alabama",Birmingham,Birmingham,AL,Jefferson,Alabama,33.5279,-86.7971,0,605,606,607,608,609,610,611,612,613,614,615,604,616,618,619,620,621,622,623,624,"Birmingham, Jefferson County","Birmingham, AL"
87,Washington,Spokane County,WA,"Spokane, Washington, Spokane County","Spokane, Washington",Spokane,Spokane,WA,Spokane,Washington,47.6671,-117.433,87,302,124,64,131,520,558,685,841,134,109,354,155,91,63,879,827,693,88,137,479,"Spokane, Spokane County","Spokane, WA"
88,Iowa,Polk County,IA,"Des Moines, Iowa, Polk County","Des Moines, Iowa",Des Moines,Des Moines,IA,Polk,Iowa,41.5725,-93.6105,88,38,527,176,109,526,659,816,63,799,203,64,780,525,483,222,568,267,693,489,544,"Des Moines, Polk County","Des Moines, IA"
89,California,Stanislaus County,CA,"Modesto, California, Stanislaus County","Modesto, California",Modesto,Modesto,CA,Stanislaus,California,37.6375,-121.0028,89,440,730,503,425,56,336,194,444,622,435,402,366,294,359,347,255,121,96,53,265,"Modesto, Stanislaus County","Modesto, CA"
90,North Carolina,Cumberland County,NC,"Fayetteville, North Carolina, Cumberland County","Fayetteville, North Carolina",Fayetteville,Fayetteville,NC,Cumberland,North Carolina,35.085,-78.9772,90,169,106,211,422,595,810,667,159,902,711,157,585,181,478,520,714,848,589,155,918,"Fayetteville, Cumberland County","Fayetteville, NC"
91,Washington,Pierce County,WA,"Tacoma, Washington, Pierce County","Tacoma, Washington",Tacoma,Tacoma,WA,Pierce,Washington,47.2431,-122.4531,91,558,879,87,124,302,105,198,131,242,707,32,375,713,229,37,685,827,823,334,64,"Tacoma, Pierce County","Tacoma, WA"
92,California,Ventura County,CA,"Oxnard, California, Ventura County","Oxnard, California",Oxnard,Oxnard,CA,Ventura,California,34.1964,-119.1815,92,187,477,175,120,373,807,553,144,253,117,564,66,275,823,313,277,505,598,162,219,"Oxnard, Ventura County","Oxnard, CA"
93,California,San Bernardino County,CA,"Fontana, California, San Bernardino County","Fontana, California",Fontana,Fontana,CA,San Bernardino,California,34.0968,-117.4599,93,644,121,294,395,366,622,123,435,402,444,255,636,194,831,269,639,608,349,779,133,"Fontana, San Bernardino County","Fontana, CA"
